added_date,filtered_tokens
2019-12-31 15:06:43,"['ism', 'apac', 'region', 'arm', 'netherland', 'base', 'ecommerc', 'compani', 'ism', 'egroup', 'mark', 'dawn', 'new', 'era', 'announc', 'appointment', 'apac', 'appoint', 'first', 'sri', 'lankan', 'manag', 'director']"
2019-12-31 14:52:35,"['onc', 'prima', 'group', 'sri', 'lanka', 'premium', 'bread', 'prima', 'sunris', 'continu', 'sponsorship', 'prestigi', 'event', 'junior', 'golf', 'calendarprima', 'sunris', 'bread', 'continu', 'support', 'junior', 'golf', 'sponsor', 'sri', 'lanka', 'junior', 'open', 'th', 'consecut', 'year']"
2019-12-31 14:00:25,"['peopl', 'colombo', 'seen', 'today', 'purchas', 'pot', 'firework', 'prepar', 'new', 'year', 'celebr', 'pix', 'nisal', 'badugeprepar', 'new', 'year']"
2019-12-31 13:55:32,"['two', 'tamil', 'nadu', 'journalist', 'book', 'interview', 'sri', 'lankan', 'refuge', 'write', 'news', 'stori', 'perspect', 'caanrc', 'issu', 'india', 'today', 'reportedtwo', 'indian', 'journalist', 'book', 'interview', 'sri', 'lankan', 'refuge']"
2019-12-31 12:26:40,"['maldiv', 'presid', 'ibrahim', 'moham', 'solih', 'schedul', 'embark', 'trip', 'neighbor', 'sri', 'lanka', 'yearend', 'holidaymald', 'presid', 'holiday', 'sri', 'lanka']"
2019-12-31 11:05:01,"['yearold', 'suspect', 'wa', 'arrest', 'kg', 'heroin', 'ha', 'street', 'valu', 'r', 'million', 'settikulam', 'vavuniyasuspect', 'arrest', 'rsmn', 'worth', 'heroin']"
2019-12-31 09:50:31,"['former', 'state', 'pharmaceut', 'corpor', 'spc', 'chairman', 'drrumi', 'moham', 'wa', 'abscond', 'white', 'van', 'press', 'confer', 'case', 'ha', 'arrest', 'surrend', 'cid', 'thi', 'morn', 'ag', 'co', 'saidfmr', 'spc', 'chairman', 'arrest']"
2019-12-31 09:31:47,"['four', 'air', 'forc', 'personnel', 'kill', 'threewheel', 'truck', 'collid', 'headon', 'dummaladeniya', 'warakapola', 'kandycolombo', 'main', 'road', 'earli', 'thi', 'morningfour', 'airman', 'kill', 'headon', 'collis', 'warakapola']"
2019-12-31 09:04:51,"['boost', 'reviv', 'tourism', 'industri', 'sri', 'lanka', 'aitken', 'spenc', 'maritimefacilit', 'marella', 'cruis', 'sail', 'largest', 'superluxuri', 'cruis', 'ship', 'marella', 'discoveri', 'marella', 'fleet', 'port', 'colombosuperluxuri', 'marella', 'discoveri', 'call', 'colombo', 'port']"
2019-12-31 09:03:45,"['central', 'bank', 'plan', 'move', 'ahead', 'liquid', 'two', 'troubl', 'nonbank', 'financi', 'institut', 'eti', 'financ', 'limit', 'etifl', 'swarnamah', 'financi', 'servic', 'formerli', 'edirisingh', 'famili', 'allow', 'one', 'last', 'opportun', 'financ', 'compani', 'plc', 'tfc', 'find', 'prospect', 'investor', 'restructur', 'firmcb', 'liquid', 'financ', 'firm', 'grant', 'addit', 'time', 'financ']"
2019-12-31 09:02:55,"['sri', 'lanka', 'tourism', 'develop', 'author', 'slda', 'yesterday', 'caution', 'licens', 'establish', 'adopt', 'discriminatori', 'practic', 'local', 'tourist', 'foreign', 'onli', 'polici', 'stern', 'actionstour', 'author', 'take', 'stern', 'action', 'foreign', 'onli', 'outfit']"
2019-12-31 09:02:28,"['nonperform', 'loan', 'npl', 'ratio', 'licens', 'financ', 'compani', 'sector', 'ha', 'edg', 'percent', 'octob', 'ratio', 'licens', 'commerci', 'bank', 'stood', 'steadi', 'percent', 'amid', 'pick', 'privat', 'creditnonbank', 'sector', 'npl', 'edg', 'bank', 'stabl']"
2019-12-31 09:01:40,"['financi', 'sector', 'regul', 'central', 'bank', 'cb', 'initi', 'appropri', 'measur', 'seven', 'bank', 'fail', 'compli', 'regul', 'order', 'bring', 'averag', 'weight', 'prime', 'lend', 'rate', 'awpr', 'basi', 'point', 'end', 'last', 'weekseven', 'bank', 'fail', 'compli', 'cb', 'order', 'bring', 'prime', 'lend', 'rate']"
2019-12-31 08:59:53,"['presid', 'gotabaya', 'rajapaksa', 'ha', 'paid', 'hi', 'attent', 'set', 'central', 'databas', 'citizen', 'data', 'hi', 'offic', 'said', 'medium', 'communiqugovt', 'mull', 'central', 'databas', 'citizen', 'inform']"
2019-12-31 08:59:26,"['srilankan', 'airlin', 'nation', 'carrier', 'member', 'oneworld', 'allianc', 'reaffirm', 'success', 'market', 'commun', 'endeavour', 'conclud', 'seven', 'global', 'awardssrilankan', 'airlin', 'conclud', 'awardwin', 'year']"
2019-12-31 06:48:40,"['former', 'parliamentari', 'affair', 'minist', 'gayantha', 'karunatilaka', 'said', 'submit', 'cabinet', 'paper', 'seek', 'approv', 'resid', 'assign', 'tamil', 'nation', 'allianc', 'tna', 'leader', 'r', 'sampanthan', 'recommend', 'speaker', 'karu', 'jayasuriya', 'former', 'prime', 'minist', 'ranil', 'wickremesinghesubmit', 'cabinet', 'memo', 'recommend', 'karu', 'ranil']"
2019-12-31 09:47:41,"['accord', 'microsoft', 'ceo', 'satya', 'nadella', 'industri', 'doe', 'respect', 'tradit', 'onli', 'respect', 'innovationexperi', 'centr', 'asia', 'showcas', 'new', 'futur', 'work', 'today']"
2019-12-31 09:44:42,"['fortun', 'busi', 'insight', 'estim', 'global', 'blockchain', 'technolog', 'market', 'size', 'expect', 'reach', 'u', 'million', 'end', 'compound', 'annual', 'growth', 'rate', 'percent', 'show', 'promis', 'start', 'upcom', 'technologya', 'block', 'unchain', 'blockchain', 'implement', 'sri', 'lanka']"
2019-12-31 09:13:43,"['ancient', 'time', 'human', 'use', 'forc', 'water', 'flow', 'stream', 'river', 'produc', 'motivepow', 'howev', 'use', 'veri', 'evid', 'histori', 'sri', 'lankahydropow', 'still', 'largest', 'renew', 'energi', 'sourc', 'electr', 'gener', 'sri', 'lanka']"
2019-12-31 06:53:30,"['act', 'igp', 'cdwickramaratn', 'ha', 'inform', 'nation', 'polic', 'commiss', 'npc', 'arrest', 'former', 'minist', 'patali', 'champika', 'ranawaka', 'wa', 'done', 'legal', 'manner', 'accord', 'procedur', 'npc', 'saidarrest', 'patali', 'legal', 'act', 'igp', 'inform', 'npc']"
2019-12-31 06:46:56,"['justifi', 'decis', 'provid', 'offici', 'resid', 'tna', 'leader', 'r', 'sampanthan', 'unp', 'mp', 'palitha', 'rang', 'bandara', 'said', 'yesterday', 'hi', 'parti', 'took', 'thi', 'line', 'think', 'uphold', 'polici', 'stand', 'racial', 'discriminationunp', 'defend', 'decis']"
2019-12-31 06:42:24,"['faction', 'support', 'mp', 'sajith', 'premadasa', 'contempl', 'form', 'broad', 'opposit', 'allianc', 'given', 'unp', 'leadership', 'mp', 'harin', 'fernando', 'told', 'daili', 'mirror', 'yesterdaysajith', 'loyalist', 'mull', 'broad', 'opposit', 'allianc']"
2019-12-31 06:39:36,"['previou', 'govern', 'bought', 'aircraft', 'monthli', 'lea', 'usd', 'airlin', 'portug', 'airworthi', 'brought', 'notic', 'civil', 'aviat', 'minist', 'prasanna', 'ranatunga', 'trade', 'union', 'leader', 'yesterdayportugues', 'aircraft', 'lea', 'former', 'govt', 'airworthi']"
2019-12-30 21:12:46,"['crimin', 'investig', 'depart', 'cid', 'yesterday', 'record', 'statement', 'former', 'minist', 'rishad', 'bathiudeen', 'three', 'hour', 'sourc', 'said', 'cid', 'grill', 'rishad', 'three', 'hour']"
2019-12-30 23:41:06,"['transport', 'servic', 'manag', 'power', 'energi', 'minist', 'mahinda', 'amaraweera', 'said', 'last', 'week', 'loud', 'song', 'improp', 'video', 'clip', 'would', 'ban', 'play', 'radio', 'tv', 'privat', 'buse', 'januari', 'tomorrow', 'cite', 'song', 'play', 'high', 'volum', 'irk', 'commut', 'state', 'classic', 'song', 'proper', 'video', 'would', 'distribut', 'among', 'therein', 'privat', 'buse']"
2019-12-30 21:21:13,"['mp', 'rajitha', 'senaratn', 'wa', 'remand', 'charg', 'organis', 'white', 'van', 'press', 'confer', 'prior', 'presidenti', 'elect', 'wa', 'yesterday', 'grant', 'bail', 'two', 'sureti', 'r', 'eachrajitha', 'grant', 'bail', 'two', 'sureti', 'r']"
2019-12-30 23:42:51,"['presid', 'gotabaya', 'rajapaksa', 'elect', 'highest', 'polit', 'offic', 'land', 'without', 'help', 'tamil', 'voter', 'day', 'swearingin', 'pledg', 'presid', 'citizen', 'countri', 'hi', 'first', 'modanger', 'ethnic', 'polit', 'monopolis', 'nation', 'anthem']"
2019-12-30 21:30:06,"['presid', 'gotabaya', 'rajapaksa', 'ha', 'paid', 'attent', 'see', 'possibl', 'collect', 'person', 'data', 'nation', 'ident', 'card', 'drive', 'licenc', 'immigr', 'emigr', 'document', 'registr', 'birthsprez', 'underscor', 'need', 'underpin', 'data', 'integr', 'platform']"
2019-12-30 21:24:02,"['swiss', 'embassi', 'local', 'staffer', 'garnier', 'banist', 'franci', 'wa', 'arrest', 'charg', 'provid', 'fabric', 'statement', 'crimin', 'investig', 'depart', 'cid', 'wa', 'yesterday', 'grant', 'bail', 'twswiss', 'embassi', 'local', 'staffer', 'grant', 'bail']"
2019-12-30 21:26:29,"['former', 'custom', 'directorgener', 'psm', 'charl', 'wa', 'yesterday', 'appoint', 'northern', 'provinc', 'governor', 'presid', 'gotabaya', 'rajapaksa', 'charl', 'wa', 'earlier', 'appoint', 'secretari', 'health', 'ministri', 'presid', 'also', 'serv', 'former', 'district', 'secretari', 'batticaloapsm', 'charl', 'appoint', 'np', 'governor']"
2019-12-30 23:52:34,"['write', 'wwwconversationscom', 'two', 'u', 'scholar', 'clayton', 'beswa', 'mathew', 'frank', 'report', 'coup', 'attempt', 'worldwid', 'success', 'militari', 'coup', 'also', 'hardi', 'annual', 'say', 'though', 'reason', 'yet', 'unknown', 'year', 'free', 'militari', 'takeov', 'accord', 'tsome', 'facet', 'militari', 'coup', 'attempt', 'across', 'globe']"
2019-12-30 23:45:21,"['sinhala', 'cinema', 'attempt', 'develop', 'distinct', 'nation', 'ident', 'sought', 'thi', 'mainli', 'obliter', 'indian', 'influenc', 'wa', 'necessari', 'nurtur', 'mobilis', 'entir', 'new', 'gener', 'actor', 'writer', 'director', 'even', 'produc', 'look', 'back', 'today', 'seem', 'experi', 'though', 'total', 'success', 'succeed', 'shape', 'cinema', 'particularli', 'due', 'shift', 'artist', 'tast', 'amtissa', 'liyanasuriya', 'reflect', 'career']"
2019-12-30 21:35:13,"['transport', 'minist', 'mahinda', 'amaraweera', 'yesterday', 'instruct', 'nation', 'transport', 'commiss', 'ntc', 'take', 'immedi', 'measur', 'stop', 'jar', 'music', 'video', 'play', 'passeng', 'buse', 'januari', 'ntc', 'instruct', 'ensur', 'jar', 'music', 'ban', 'buse']"
2019-12-30 21:24:57,"['invit', 'armi', 'command', 'lieuten', 'gener', 'shavendra', 'silva', 'celebr', 'cricket', 'thisara', 'perera', 'recent', 'join', 'sri', 'lanka', 'armi', 'volunt', 'forc', 'majorthisara', 'perera', 'join', 'armi']"
2019-12-30 21:22:22,"['justifi', 'decis', 'provid', 'offici', 'resid', 'tna', 'leader', 'r', 'sampanthan', 'unp', 'mp', 'palitha', 'rang', 'bandara', 'said', 'yesterday', 'hi', 'parti', 'took', 'thi', 'line', 'think', 'uphold', 'polici', 'stand', 'racial', 'discriminationplush', 'resid', 'sampanthan', 'unp', 'defend', 'decis']"
2019-12-30 23:58:42,"['human', 'right', 'sri', 'lanka', 'ha', 'someth', 'wide', 'discus', 'variou', 'platform', 'domest', 'intern', 'lieu', 'world', 'human', 'right', 'day', 'fell', 'decemb', 'daili', 'mirror', 'spoke', 'attorneyatlaw', 'rajeev', 'amarasuriya', 'lgbtiq', 'activist', 'rosanna', 'flamer', 'caldera', 'human', 'right', 'activist', 'shreen', 'abdul', 'saroora', 'long', 'road', 'human', 'right']"
2019-12-30 21:36:47,"['previou', 'govern', 'bought', 'aircraft', 'monthli', 'lea', 'usd', 'airlin', 'portug', 'airworthi', 'brought', 'notic', 'civil', 'aviat', 'minist', 'prasanna', 'ranatunga', 'trade', 'union', 'leader', 'yesterdaytu', 'inform', 'aviat', 'minist', 'portugues', 'aircraft', 'lea', 'former', 'govt', 'airworthi']"
2019-12-30 21:27:53,"['faction', 'support', 'mp', 'sajith', 'premadasa', 'contempl', 'form', 'broad', 'opposit', 'allianc', 'given', 'unp', 'leadership', 'mp', 'harin', 'fernando', 'told', 'daili', 'mirror', 'yesterdaysajith', 'loyalist', 'mull', 'broad', 'opposit', 'allianc']"
2019-12-30 21:25:19,"['former', 'parliamentari', 'affair', 'minist', 'gayantha', 'karunatilaka', 'said', 'submit', 'cabinet', 'paper', 'seek', 'approv', 'resid', 'assign', 'tamil', 'nation', 'allianc', 'tna', 'leader', 'r', 'sampanthan', 'recommend', 'speaker', 'karu', 'jayasuriya', 'former', 'prime', 'minist', 'ranil', 'wickremesinghegayantha', 'sampanthan', 'col', 'resid', 'submit', 'cabinet', 'memo', 'recommend', 'karu', 'ranil']"
2019-12-30 23:19:27,"['dig', 'financi', 'crime', 'investig', 'divis', 'ficd', 'crimin', 'investig', 'depart', 'dhammika', 'priyantha', 'ha', 'transfer', 'dig', 'wanni', 'district', 'due', 'assum', 'duti', 'tomorrow', 'new', 'wanni', 'dig', 'dhammika', 'priyantha']"
2019-12-30 22:19:52,"['danc', 'circl', 'gothami', 'balika', 'vidyalaya', 'present', 'sanni', 'bandaranaik', 'memori', 'intern', 'confer', 'hall', 'bmich', 'thi', 'even', 'patronag', 'chief', 'guest', 'veteran', 'choreograph', 'rajini', 'selvanayagam', 'school', 'princip', 'da', 'subashini', 'dematagoda', 'pix', 'kushan', 'pathirajagothami', 'present', 'sanni']"
2019-12-30 21:06:25,"['presid', 'gotabaya', 'rajapaksa', 'ha', 'paid', 'attent', 'see', 'possibl', 'collect', 'person', 'data', 'nation', 'ident', 'card', 'drive', 'licenc', 'immigr', 'emigr', 'document', 'registr', 'birth', 'death', 'one', 'entityprez', 'underscor', 'need', 'form', 'centralis', 'data', 'platform']"
2019-12-30 23:41:03,"['six', 'middleman', 'arrest', 'depart', 'motor', 'traffic', 'werahera', 'branch', 'dmt', 'today', 'offic', 'attach', 'special', 'polic', 'investig', 'unit', 'accept', 'bribe', 'senior', 'polic', 'offic', 'saidsix', 'middleman', 'arrest', 'accept', 'bribe', 'dmt', 'werahera', 'branch']"
2019-12-30 20:35:10,"['fire', 'broke', 'electr', 'unit', 'insid', 'prime', 'minist', 'hous', 'lutyen', 'delhi', 'monday', 'even', 'nine', 'fire', 'tender', 'press', 'actionfir', 'break', 'insid', 'pm', 'modi', 'residenti', 'premis']"
2019-12-30 18:58:11,"['transport', 'minist', 'mahinda', 'amaraweera', 'today', 'instruct', 'nation', 'transport', 'commiss', 'ntc', 'take', 'immedi', 'measur', 'stop', 'jar', 'music', 'video', 'play', 'passeng', 'buse', 'januari', 'ntc', 'instruct', 'ensur', 'jar', 'music', 'ban', 'buse']"
2019-12-30 17:46:14,"['two', 'yearold', 'girl', 'three', 'gone', 'bath', 'badulu', 'oya', 'drown', 'thi', 'even', 'polic', 'saidtwo', 'teen', 'girl', 'drown', 'badulu', 'oya']"
2019-12-30 17:19:05,"['swiss', 'embassi', 'local', 'staffer', 'garnier', 'banist', 'franci', 'wa', 'releas', 'bail', 'colombo', 'chief', 'magistr', 'court', 'today', 'wa', 'releas', 'two', 'sureti', 'r', 'pix', 'pradeep', 'dilrukshanagarni', 'banist', 'releas', 'bail']"
2019-12-30 16:37:45,"['sarvodaya', 'develop', 'financ', 'sdf', 'licens', 'financ', 'compani', 'approv', 'central', 'bank', 'sri', 'lanka', 'ha', 'enter', 'agreement', 'megapay', 'pvt', 'limitedsarvodaya', 'develop', 'financ', 'megapay', 'partnership', 'offer', 'pay', 'go', 'doorstep', 'servic', 'sarvodaya', 'custom']"
2019-12-30 16:30:26,"['lead', 'global', 'logist', 'provid', 'expolanka', 'freight', 'pvt', 'ltd', 'efl', 'big', 'secur', 'two', 'award', 'nation', 'busi', 'excel', 'award', 'nbea', 'efl', 'win', 'big', 'nation', 'busi', 'excel', 'award']"
2019-12-30 16:17:07,"['sri', 'lanka', 'largest', 'aluminium', 'extrus', 'manufactur', 'alumex', 'plc', 'celebr', 'big', 'win', 'thi', 'year', 'confer', 'top', 'honour', 'twoalumex', 'celebr', 'big', 'win', 'ca', 'sri', 'lanka', 'annual', 'report', 'award', 'safa', 'best', 'present', 'annual', 'report', 'award']"
2019-12-30 15:52:13,"['former', 'custom', 'directorgener', 'psmcharl', 'wa', 'appoint', 'governor', 'northern', 'provinc', 'presid', 'gotabaya', 'rajapaksa', 'todaypsm', 'charl', 'appoint', 'np', 'governor']"
2019-12-30 14:57:38,"['cricket', 'thisara', 'perera', 'ha', 'join', 'sri', 'lanka', 'armi', 'volunt', 'forc', 'major', 'follow', 'invit', 'armi', 'command', 'lieuten', 'gener', 'shavendra', 'silvathisara', 'perera', 'join', 'armi']"
2019-12-30 14:48:07,"['crimin', 'investig', 'depart', 'cid', 'today', 'record', 'statement', 'former', 'minist', 'rishad', 'bathiudeen', 'three', 'hour', 'sourc', 'saidcid', 'grill', 'rishad']"
2019-12-30 14:04:53,"['swiss', 'embassi', 'local', 'staffer', 'garnier', 'banist', 'franci', 'wa', 'releas', 'bail', 'colombo', 'chief', 'magistr', 'court', 'todayswiss', 'embassi', 'local', 'staffer', 'releas', 'bail']"
2019-12-30 12:48:05,"['islandwid', 'beach', 'cleanup', 'project', 'organis', 'sri', 'lanka', 'armi', 'close', 'coordin', 'marin', 'environment', 'protect', 'author', 'mepa', 'wa', 'launch', 'yesterday', 'aegi', 'armi', 'command', 'lieuten', 'gener', 'shavendra', 'silva', 'troop', 'join', 'hand', 'togeth', 'volunt', 'state', 'employe', 'round', 'countrymega', 'islandwid', 'beach', 'clean', 'project']"
2021-01-02 15:37:14,"['initi', 'carpet', 'sever', 'byroad', 'ragama', 'area', 'wa', 'launch', 'patronag', 'state', 'minist', 'rural', 'road', 'infrastructur', 'pix', 'nimalsiri', 'edirisingheto', 'carpet', 'byroad', 'ragama']"
2019-12-30 12:24:28,"['admir', 'ravindra', 'c', 'wijegunaratn', 'retir', 'post', 'chief', 'defenc', 'staff', 'tomorrow', 'decemb', 'cd', 'retir', 'tomorrow']"
2019-12-30 11:29:27,"['mp', 'rajitha', 'senaratn', 'wa', 'remand', 'charg', 'organis', 'white', 'van', 'press', 'confer', 'prior', 'presidenti', 'elect', 'wa', 'today', 'grant', 'bail', 'two', 'sureti', 'r', 'colombo', 'chief', 'magistraterajitha', 'grant', 'bail', 'two', 'sureti', 'r']"
2019-12-30 10:17:11,"['central', 'bank', 'cb', 'ha', 'forecast', 'percent', 'econom', 'growth', 'percent', 'inflat', 'next', 'year', 'back', 'new', 'govern', 'econom', 'reviv', 'programm', 'meet', 'estim', 'u', 'billion', 'extern', 'debt', 'servic', 'yearcb', 'forecast', 'growth', 'pick', 'next', 'year']"
2019-12-30 10:14:53,"['south', 'korea', 'kb', 'kookmin', 'bank', 'ha', 'said', 'board', 'ha', 'agre', 'acquir', 'percent', 'stake', 'cambodia', 'prasac', 'microfin', 'institut', 'u', 'million', 'sri', 'lanka', 'lolc', 'hold', 'subject', 'regulatori', 'approvalkorean', 'lender', 'buy', 'lolc', 'stake', 'prasac', 'u', 'mn']"
2019-12-30 10:13:58,"['sri', 'lanka', 'new', 'govern', 'head', 'presid', 'gotabaya', 'rajapaksa', 'may', 'reintroduc', 'bank', 'financi', 'sector', 'consolid', 'need', 'aris', 'top', 'govern', 'offici', 'saidgovern', 'may', 'consid', 'reintroduc', 'bank', 'sector', 'consolid', 'new', 'approach', 'cabraal']"
2019-12-30 10:12:46,"['sriyan', 'de', 'silva', 'wijeyeratn', 'ha', 'resign', 'post', 'chief', 'execut', 'offic', 'aban', 'plc', 'effect', 'decemb', 'sriyan', 'de', 'silva', 'wijeyeratn', 'quit', 'aban']"
2019-12-30 10:12:10,"['govern', 'set', 'receiv', 'u', 'million', 'lea', 'plot', 'land', 'locat', 'beira', 'lake', 'shangrila', 'hotel', 'baladaksha', 'mawathagovt', 'get', 'first', 'foreign', 'invest', 'land', 'lea', 'gener', 'u', 'mn']"
2019-12-30 10:11:15,"['govern', 'consid', 'extend', 'month', 'capit', 'moratorium', 'nonperform', 'loan', 'npl', 'small', 'mediumscal', 'sme', 'busi', 'interest', 'payment', 'acknowledg', 'difficulti', 'meet', 'interest', 'payment', 'default', 'sme', 'debtorsmoratorium', 'sme', 'loan', 'may', 'extend', 'interest', 'payment']"
2019-12-30 10:10:13,"['sever', 'larg', 'small', 'bank', 'like', 'face', 'penalti', 'yet', 'fulli', 'compli', 'central', 'bank', 'cb', 'lend', 'rate', 'capscentr', 'bank', 'penalis', 'bank', 'compli', 'lend', 'rate', 'cap']"
2019-12-30 10:30:28,"['swiss', 'embassi', 'local', 'staffer', 'garnier', 'banist', 'franci', 'remand', 'custodi', 'wa', 'produc', 'befor', 'colombo', 'magistr', 'court', 'prison', 'offic', 'short', 'agogarni', 'produc', 'befor', 'court']"
2019-12-30 10:22:56,"['follow', 'full', 'text', 'speech', 'made', 'new', 'central', 'bank', 'governor', 'deshamanya', 'prof', 'wd', 'lakshman', 'monetari', 'polici', 'review', 'press', 'confer', 'held', 'last', 'friday', 'th', 'governor', 'central', 'banknew', 'cb', 'governor', 'look', 'altern', 'polici', 'approach', 'deliv', 'develop']"
2019-12-30 10:21:09,"['loui', 'vincent', 'gerstner', 'jr', 'born', 'march', 'american', 'businessman', 'best', 'known', 'hi', 'tenur', 'chairman', 'board', 'chief', 'execut', 'offic', 'ceo', 'ibm', 'april', 'larg', 'credit', 'turn', 'ibm', 'fortun', 'aroundl', 'gerstner', 'jr', 'though', 'tyro', 'comput', 'industri', 'left', 'hi', 'heavi', 'imprint', 'ibm']"
2019-12-30 09:42:15,"['part', 'measur', 'improv', 'air', 'connect', 'sri', 'lanka', 'india', 'ha', 'offer', 'develop', 'batticaloa', 'airport', 'flight', 'oper', 'region', 'destin', 'daili', 'mirror', 'learnsindia', 'offer', 'commenc', 'flight', 'connect', 'batticaloa']"
2019-12-30 09:37:24,"['previou', 'govern', 'taken', 'decis', 'allow', 'former', 'opposit', 'leader', 'r', 'sampanthan', 'use', 'hi', 'offici', 'resid', 'mahagamasekara', 'mawatha', 'colombo', 'long', 'remain', 'leader', 'tamil', 'nation', 'allianc', 'tna', 'former', 'govt', 'give', 'luxuri', 'resid', 'colombo', 'sampanthan']"
2019-12-30 09:34:20,"['industri', 'export', 'invest', 'promot', 'tourism', 'civil', 'aviat', 'minist', 'prasanna', 'ranatunga', 'said', 'tourist', 'hotel', 'regist', 'govern', 'ad', 'onli', 'hotel', 'regist', 'govern', 'moment', 'tourist', 'hotel', 'oper', 'without', 'registr', 'tourism', 'minist']"
2019-12-30 09:26:52,"['offic', 'crimin', 'investig', 'depart', 'cid', 'arrest', 'mistress', 'notori', 'underworld', 'leader', 'makandur', 'madush', 'arriv', 'bandaranaik', 'intern', 'airport', 'saturday', 'dubaimistress', 'mankandur', 'madush', 'arrest', 'bia']"
2019-12-30 01:32:13,"['messeng', 'true', 'sen', 'word', 'ha', 'render', 'servic', 'sri', 'lankan', 'cathol', 'provid', 'news', 'articl', 'relat', 'cathol', 'church', 'continu', 'journey', 'sinc', 'messeng', 'cherish', 'enlighten', 'christian', 'mind']"
2019-12-30 09:25:03,"['new', 'democrat', 'front', 'ndf', 'presidenti', 'candid', 'sajith', 'premadasa', 'said', 'weekend', 'dedic', 'victori', 'unp', 'mp', 'organis', 'next', 'gener', 'electionswil', 'work', 'victori', 'gener', 'elect', 'sajith']"
2019-12-30 01:22:02,"['inaugur', 'five', 'day', 'contemporari', 'art', 'exhibit', 'wa', 'host', 'sri', 'lankan', 'intern', 'artist', 'chathuranga', 'biyagama', 'patronag', 'bangladesh', 'high', 'commiss', 'wa', 'held', 'harold', 'peiri', 'galleri', 'lionel', 'wendt', 'decemb', 'bangladeshsri', 'lanka', 'art', 'exposit', 'showcas', 'south', 'asia']"
